crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month,parsed_datetime,date,time
03/31/2024 02:20:00 AM,5.0,3,5,6,1,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,2,1,3,03/31/2024,2024-03-31,02:20:00
02/09/2024 12:52:00 PM,5.0,3,2,6,5,3,3,3,3,1,3,IMPROPER TURNING/NO SIGNAL,2,2,0.0,0.0,0.0,0.0,0.0,2.0,12,6,2,02/09/2024,2024-02-09,12:52:00
07/20/2024 09:30:00 PM,3.0,3,5,10,4,3,3,3,2,1,4,IMPROPER OVERTAKING/PASSING,2,2,0.0,0.0,0.0,0.0,0.0,3.0,21,7,7,07/20/2024,2024-07-20,21:30:00
05/30/2024 05:43:00 AM,5.0,3,2,13,4,3,3,3,3,1,4,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",2,4,1.0,0.0,0.0,1.0,0.0,1.0,5,5,5,05/30/2024,2024-05-30,05:43:00
06/21/2024 03:00:00 PM,5.0,3,2,4,5,3,3,3,2,1,4,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,6,6,06/21/2024,2024-06-21,15:00:00
07/17/2024 05:55:00 AM,3.0,3,2,6,6,3,3,3,3,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,5,4,7,07/17/2024,2024-07-17,05:55:00
01/17/2024 06:33:00 PM,7.0,3,6,4,6,3,3,1,2,1,3,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,18,4,1,01/17/2024,2024-01-17,18:33:00
03/18/2024 12:18:00 PM,5.0,3,2,6,1,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,3.0,12,2,3,03/18/2024,2024-03-18,12:18:00
08/03/2024 10:45:00 AM,3.0,3,2,6,6,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,10,7,8,08/03/2024,2024-08-03,10:45:00
05/05/2024 05:30:00 PM,7.0,3,2,3,6,3,1,1,2,1,3,IMPROPER OVERTAKING/PASSING,2,2,0.0,0.0,0.0,0.0,0.0,2.0,17,1,5,05/05/2024,2024-05-05,17:30:00
05/19/2024 12:36:00 AM,1.0,3,5,13,5,3,3,3,3,1,2,UNABLE TO DETERMINE,2,4,1.0,0.0,0.0,1.0,0.0,1.0,0,1,5,05/19/2024,2024-05-19,00:36:00
05/27/2024 06:30:00 PM,5.0,3,2,6,4,3,1,1,2,1,4,IMPROPER TURNING/NO SIGNAL,2,2,0.0,0.0,0.0,0.0,0.0,2.0,18,2,5,05/27/2024,2024-05-27,18:30:00
07/09/2024 03:10:00 PM,5.0,5,2,6,12,3,4,3,3,1,3,FAILING TO YIELD RIGHT-OF-WAY,2,4,1.0,0.0,0.0,1.0,0.0,2.0,15,3,7,07/09/2024,2024-07-09,15:10:00
07/15/2024 12:10:00 AM,5.0,5,5,5,5,3,4,3,3,1,4,DISREGARDING TRAFFIC SIGNALS,2,2,0.0,0.0,0.0,0.0,0.0,4.0,0,2,7,07/15/2024,2024-07-15,00:10:00
